Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA20,MA60,MA120,MACD,MACD_Signal,MACD_Histogram,RSI
2025-05-28,53968.96898060152,55757.99557664356,53869.57861415474,55559.21484375,17516283,0.0,0.0,54346.65078125,55270.9814453125,55716.7685546875,54834.0103515625,-269.27726824150886,-159.677751080919,-109.59951716058987,55.96331995378937
2025-05-29,55857.38254790552,56056.16326871658,55261.04038547237,55757.9921875,12936810,0.0,0.0,54624.94375,55285.88984375,55748.6046875,54838.247265625,-188.86849997555692,-165.51590085984657,-23.352599115710348,55.96330407548604
2025-05-30,55857.3828125,56851.28642126334,55459.82136899466,55857.3828125,26219683,0.0,0.0,55022.5046875,55305.7677734375,55782.097330729164,54849.854720052084,-115.78923281590687,-155.57056725105863,39.78133443515176,41.46340995810489
2025-06-02,55956.774744168135,56950.678380831865,55857.38438050176,56453.7265625,12870515,0.0,0.0,55439.94453125,55370.371484375,55833.76263020833,54877.062890625,-9.642280108870182,-126.38490982262095,116.74262971375077,49.38271425230403
2025-06-04,56851.286737673014,57547.0192676795,56453.72529195502,57447.62890625,19649983,0.0,0.0,56215.1890625,55544.3044921875,55897.05279947917,54917.46031901042,152.9168274121257,-70.52456237567162,223.44138978779733,52.325565984835784
2025-06-05,57745.79951882403,59534.82600994078,57547.01879758883,58739.703125,23266027,0.0,0.0,56851.28671875,55767.9328125,55991.75787760417,54968.62503255208,381.60675728000206,19.901701555463113,361.70505572453897,59.183662829496164
2025-06-09,60031.77968227425,60031.77968227425,59137.26640886288,59435.4375,19609659,0.0,0.0,57586.77578125,56026.3478515625,56098.05852864583,55029.67646484375,611.931162364177,138.3075937172059,473.6235686469711,65.00000786042402
2025-06-10,59634.21663851351,59733.60699957771,58441.53230574325,58839.09375,15305760,0.0,0.0,58183.11796875,56245.006640625,56196.06686197917,55080.85166015625,737.8396003946327,258.2139950526913,479.6256053419414,67.7083226719539
2025-06-11,59137.266668405675,59733.60885329716,59037.87630425709,59534.828125,13610734,0.0,0.0,58799.33828125,56359.3056640625,56284.263411458334,55134.553483072916,883.5775620949134,383.28670846113573,500.2908536337777,69.60783822638089
2025-06-12,59336.04634978992,59634.217436974795,58938.48490021009,59137.265625,17755115,0.0,0.0,59137.265625,56488.5130859375,56369.127278645836,55190.666796875,955.9760783889215,497.8245824466929,458.15149594222856,68.26922241172049
2025-06-13,59832.99894135935,59832.99894135935,57348.23984911021,57944.58203125,20705979,0.0,0.0,58978.24140625,56533.238671875,56434.1130859375,55231.934375,906.6613975977525,579.5919454769048,327.0694521208477,66.9811453673932
2025-06-16,57646.41198645105,57745.80235194493,56553.117966018355,56851.2890625,22200872,0.0,0.0,58461.41171875,56528.269140625,56433.1224609375,55264.09117838542,770.4779618913017,617.7691487597842,152.70881313151745,63.392859649369065
2025-06-17,57447.62969287866,59435.43694868761,57050.06824171687,57745.80078125,28637003,0.0,0.0,58242.753125,56592.8728515625,56447.040364583336,55288.164322916666,726.3582224558559,639.4869634989986,86.87125895685722,64.65517825536608
2025-06-18,57646.41095317726,59435.4375,57547.02058946488,59435.4375,17620705,0.0,0.0,58222.875,56791.653515625,56474.29837239583,55324.68219401042,818.2997235681905,675.2495155128371,143.05020805535344,73.59999647853225
2025-06-19,60131.16844383446,60230.558804898654,58640.31302787162,58839.09375,16876278,0.0,0.0,58163.240625,56955.6474609375,56463.62298177083,55360.31946614583,833.4367290144,706.8869582131497,126.54977080125036,64.8648485966497
2025-06-20,59037.87526260504,59435.43671218488,58739.70417542017,59137.265625,18072251,0.0,0.0,58401.77734375,57144.4890625,56433.21634114583,55409.890462239586,859.5841423524325,737.4263950410062,122.1577473114263,65.17856829543373
