Date,Open,High,Low,Close,Volume,MA5,MA20,MA60,MA6,MA12,MA24,CCI,ADX,Plus_DI,Minus_DI,BB_Upper,BB_Middle,BB_Lower,MACD,MACD_Signal,MACD_Histogram,RSI,MA3,Volume_MA12,Year,Pivot_Point,Pivot_Resistance,Pivot_Support
2021-09-01,214000.0,218500.0,197500.0,200000.0,11799356.0,221000.0,175675.0,150608.33333333334,219500.0,211583.33333333334,166750.0,41.43064791072094,839.5788371964096,30.462863293864373,-25.18837459634015,282293.43180238584,175675.0,69056.5681976142,23595.042357343656,21730.80860905613,1864.2337482875264,65.94360086767895,210166.66666666666,31922440.0,2021,205333.33333333334,248000.0,169866.66666666666
2021-10-01,198000.0,215000.0,189000.0,208000.0,14582859.0,215600.0,180325.0,151741.66666666666,218833.33333333334,215208.33333333334,170333.33333333334,35.21194531815855,827.4729594229568,20.833333333333332,-27.083333333333332,283869.1197598497,180325.0,76780.8802401503,22176.80876425671,21820.008640096246,356.8001241604652,58.35543766578249,206833.33333333334,29620716.75,2021,204000.0,248000.0,169866.66666666666
2021-11-01,208000.0,220000.0,194500.0,195500.0,15678239.0,206800.0,185665.0,152783.33333333334,212250.0,216375.0,173437.5,28.55141005430024,917.8158548781554,20.85747392815759,-18.6558516801854,279911.491488515,185665.0,91418.50851148501,19815.778926205618,21419.162697318123,-1603.3837711125052,54.2713567839196,201166.66666666666,27460942.166666668,2021,203333.33333333334,248000.0,169866.66666666666
2021-12-01,198500.0,217000.0,196500.0,209000.0,13280620.0,205000.0,191435.0,153833.33333333334,207166.66666666666,217791.66666666666,177125.0,29.818852581464338,1044.248975897264,21.377672209026127,-19.59619952494062,275532.8196100106,191435.0,107337.1803899894,18817.071458488033,20898.744449552105,-2081.6729910640715,61.20906801007557,204166.66666666666,25228581.333333332,2021,207500.0,248000.0,169866.66666666666
2022-01-03,211500.0,217500.0,180000.0,189500.0,14499487.0,200400.0,196010.0,154666.66666666666,202416.66666666666,214500.0,179812.5,-3.5691237348695677,1042.3882986654774,20.828538550057537,-16.800920598388956,267753.8983284879,196010.0,124266.1016715121,16264.613226418849,19971.918204925452,-3707.304978506603,51.99004975124379,198000.0,18228071.916666668,2022,195666.66666666666,248000.0,169866.66666666666
2022-02-03,193000.0,195500.0,168000.0,175000.0,16556102.0,195400.0,199875.0,155091.66666666666,196166.66666666666,209333.33333333334,182312.5,-60.556964403118315,775.9764846730177,20.451977401129945,-13.446327683615818,255933.12303221296,199875.0,143816.87696778704,12922.777138884092,18562.08999171718,-5639.312852833089,45.853658536585364,191166.66666666666,17098072.166666668,2022,179500.0,248000.0,169866.66666666666
2022-03-02,171500.0,183000.0,162000.0,180500.0,18741959.0,189900.0,202575.0,155475.0,192916.66666666666,206208.33333333334,186137.5,-94.14340448823201,755.1381069490468,0.1364256480218281,-16.234652114597544,247933.54239744745,202575.0,157216.45760255255,10596.007815158751,16968.873556405495,-6372.865741246744,36.023054755043226,181666.66666666666,16728268.416666666,2022,175166.66666666666,248000.0,169866.66666666666
2022-04-01,178000.0,191000.0,174500.0,186000.0,16174933.0,188000.0,203050.0,156175.0,189250.0,204041.66666666666,189987.5,-73.75453885257812,720.618052870633,0.14104372355430184,-11.565585331452748,247447.60543566555,203050.0,158652.39456433445,9091.034609218274,15393.305766968053,-6302.271157749779,35.0877192982456,180500.0,16351737.75,2022,183833.33333333334,248000.0,169866.66666666666
2022-05-02,184000.0,189500.0,176000.0,189500.0,11530639.0,184100.0,203600.0,156616.66666666666,188250.0,200250.0,193800.0,-72.04491725768328,682.1446129531498,0.15151515151515152,-12.878787878787879,246977.89881106673,203600.0,160222.10118893327,8087.5252927780675,13932.149672130057,-5844.62437935199,40.83601286173633,185333.33333333334,15404118.833333334,2022,185000.0,248000.0,169866.66666666666
2022-06-02,189000.0,189000.0,168000.0,180500.0,17438131.0,182300.0,204400.0,156966.66666666666,183500.0,195333.33333333334,197250.0,-96.55089023911005,640.9012786842752,0.154320987654321,-13.117283950617283,245258.6781350958,204400.0,163541.3218649042,6491.185796504113,12443.95689700487,-5952.771100500757,40.063091482649845,185333.33333333334,15151418.0,2022,179166.66666666666,248000.0,169866.66666666666
2022-07-01,181500.0,198500.0,172000.0,196000.0,19363851.0,186500.0,205125.0,157816.66666666666,184583.33333333334,193500.0,200145.83333333334,-64.94613655738979,599.6579444154007,3.0721966205837177,-13.056835637480798,244769.30668622628,205125.0,165480.69331377372,6402.986068124184,11235.762731228733,-4832.776663104549,37.08609271523179,188666.66666666666,15333097.833333334,2022,188833.33333333334,248000.0,169866.66666666666
2022-08-01,196000.0,199500.0,184000.0,196000.0,16375947.0,189600.0,205325.0,158741.66666666666,188083.33333333334,192125.0,200958.33333333334,-49.75870308766342,555.3841597449564,3.08641975308642,-10.339506172839506,244730.1492761247,205325.0,165919.8507238753,6260.915214628505,10240.793227908687,-3979.878013280182,35.153583617747444,190833.33333333334,15501843.583333334,2022,193166.66666666666,248000.0,169866.66666666666
2022-09-01,193500.0,203500.0,174000.0,176500.0,16793348.0,187700.0,202700.0,159175.0,187416.66666666666,190166.66666666666,200875.0,-75.17173699705604,518.0711117820889,4.2682926829268295,-10.213414634146341,242457.68710841355,202700.0,162942.31289158645,4522.701124685991,9097.174807264148,-4574.4736825781565,35.640138408304495,189500.0,15918009.583333334,2022,184666.66666666666,248000.0,169866.66666666666
2022-10-04,179000.0,184000.0,160000.0,164500.0,16649893.0,182700.0,199075.0,159233.33333333334,183833.33333333334,186541.66666666666,200875.0,-121.58792650918637,469.1425403535174,4.281345565749235,-10.244648318042811,238885.43899069144,199075.0,159264.56100930856,2152.0467678970017,7708.149199390718,-5556.102431493717,34.10596026490067,179000.0,16090262.416666666,2022,169500.0,248000.0,169866.66666666666
2022-11-01,163500.0,179500.0,160500.0,169000.0,15535503.0,180400.0,196625.0,159308.33333333334,180416.66666666666,184333.33333333334,200354.16666666666,-110.01577287066256,393.778108866637,4.3076923076923075,-10.461538461538462,237547.10186503892,196625.0,155702.89813496108,629.1460978441173,6292.348579081398,-5663.202481237281,39.16083916083917,170000.0,16078367.75,2022,169666.66666666666,248000.0,169866.66666666666
2022-12-01,172000.0,173000.0,150500.0,151000.0,11387686.0,171400.0,193575.0,159225.0,175500.0,179500.0,198645.83333333334,-140.40179291219252,393.778108866637,4.354587869362364,-10.57542768273717,238563.0393461475,193575.0,148586.9606538525,-2007.0768897795933,4632.463485309201,-6639.5403750887945,31.372549019607845,161500.0,15920623.25,2022,158166.66666666666,248000.0,169866.66666666666
2023-01-02,154000.0,177600.0,154000.0,167000.0,13590946.0,165600.0,190175.0,159308.33333333334,170666.66666666666,177625.0,196062.5,-101.40610744378249,265.5826201448325,5.765654060756355,-8.834469931804092,232159.0508564357,190175.0,148190.9491435643,-2773.2678129630804,3151.317225654745,-5924.585038617825,40.894568690095845,162333.33333333334,15844911.5,2023,166200.0,248000.0,169866.66666666666
2023-02-01,169200.0,180000.0,168700.0,176300.0,10662558.0,165560.0,187015.0,159555.0,167383.33333333334,177733.33333333334,193533.33333333334,-60.97178865279503,101.2969058591179,5.921680993314231,-13.116841770136897,222355.40627651958,187015.0,151674.59372348042,-2600.075313315203,2001.0387178607557,-4601.114031175959,39.26460932370322,164766.66666666666,15353782.833333334,2023,175000.0,248000.0,169866.66666666666
2023-03-02,176500.0,184900.0,170500.0,184500.0,11690493.0,169560.0,185340.0,160238.33333333334,168716.66666666666,178066.66666666666,192137.5,-31.440617151058593,34.56221198156682,7.903780068728522,-14.15807560137457,217532.27759637544,185340.0,153147.72240362456,-1780.6216419293778,1244.7066459027292,-3025.328287832107,48.22695035460992,175933.33333333334,14766160.666666666,2023,179966.66666666666,248000.0,169866.66666666666
2023-04-03,184600.0,207500.0,182300.0,197500.0,16892557.0,175260.0,184590.0,160863.33333333334,174216.66666666666,179025.0,191533.33333333334,63.20905244975316,140.9090909090907,15.794942847246277,-14.270869414617248,214752.9888230068,184590.0,154427.0111769932,-81.27051315782592,979.5112140906182,-1060.781727248444,58.064516129032256,186100.0,14825962.666666666,2023,195766.66666666666,248000.0,169866.66666666666
2023-05-02,198500.0,211500.0,197400.0,200000.0,12759654.0,185060.0,184590.0,161880.0,179383.33333333334,179900.0,190075.0,107.28740942565507,140.9090909090907,16.18168914123492,-19.978708303761536,214752.9888230068,184590.0,154427.0111769932,1450.4863029812404,1073.7062318687426,376.7800711124978,57.142857142857146,194000.0,14928380.583333334,2023,202966.66666666666,248000.0,169866.66666666666
2023-06-01,199800.0,209000.0,194000.0,206500.0,11549575.0,192960.0,184515.0,163230.0,188633.33333333334,182066.66666666666,188700.0,109.1633584608294,495.6709956709957,16.268283981448448,-15.626114876917589,214439.41530889017,184515.0,154590.58469110983,3152.569434680161,1489.4788724310265,1663.0905622491346,57.45454545454545,201333.33333333334,14437667.583333334,2023,203166.66666666666,248000.0,169866.66666666666
2023-07-03,207500.0,210000.0,194000.0,196000.0,13134828.0,196900.0,184540.0,164338.33333333334,193466.66666666666,182066.66666666666,187783.33333333334,92.82152032643192,643.3454142756469,16.47807637906648,-14.957567185289959,214503.86595814844,184540.0,154576.13404185156,3612.576795017725,1914.0984569483662,1698.4783380693589,52.24913494809689,200833.33333333334,13918582.333333334,2023,200000.0,248000.0,169866.66666666666
2023-08-01,195200.0,199600.0,182600.0,189100.0,10112592.0,197820.0,183545.0,165406.66666666666,195600.0,181491.66666666666,186808.33333333334,43.49843089098116,791.0198328802983,16.744520301832555,-15.199425080848009,211331.4393279583,183545.0,155758.5606720417,3381.3851053104445,2207.555786620782,1173.8293186896626,53.01966292134831,197200.0,13396636.083333334,2023,190433.33333333334,248000.0,169866.66666666666
2023-09-01,188000.0,196000.0,184400.0,191100.0,6720427.0,196540.0,183625.0,166433.33333333334,196700.0,182708.33333333334,186437.5,46.693476318141315,791.0198328802983,14.085041761579348,-16.74259681093394,211492.7232654552,183625.0,155757.2767345448,3321.2618714337004,2430.297003583366,890.9648678503345,48.099301784328944,192066.66666666666,12557226.0,2023,190500.0,248000.0,169866.66666666666
2023-10-04,188000.0,193200.0,169300.0,169700.0,9357553.0,190480.0,183360.0,167486.66666666666,192066.66666666666,183141.66666666666,184841.66666666666,-39.940591544785335,889.8769757374412,13.649742457689479,-11.810154525386313,211670.3403091705,183360.0,155049.6596908295,1529.1851284085133,2250.0746285483956,-720.8895001398823,41.25083166999335,183300.0,11949531.0,2023,177400.0,248000.0,169866.66666666666
2023-11-01,170800.0,186500.0,169400.0,184300.0,8431136.0,186040.0,183550.0,168775.0,189450.0,184416.66666666666,184375.0,-24.55352077518337,1408.13094399141,12.760215882806477,-12.413261372397843,211830.51216687995,183550.0,155269.48783312005,1272.382151640515,2054.5361331668196,-782.1539815263045,52.68225584594223,181700.0,11357500.416666666,2023,180066.66666666666,248000.0,169866.66666666666
2023-12-01,183300.0,203500.0,180700.0,203500.0,8808029.0,187540.0,184425.0,170191.66666666666,188950.0,188791.66666666666,184145.83333333334,74.97231807871346,1440.9721251566136,19.40356312935709,-12.470952749806353,214074.45193422624,184425.0,154775.54806577376,2588.307088342088,2161.2903242018733,427.0167641402145,62.77850589777195,185833.33333333334,11142529.0,2023,195900.0,248000.0,169866.66666666666
2024-01-02,202000.0,202500.0,179800.0,194600.0,10900258.0,188640.0,184680.0,171276.66666666666,188716.66666666666,191091.66666666666,184358.33333333334,47.87580422494862,1472.7267835417072,19.05667554203119,-12.057816660327122,214599.72417548054,184680.0,154760.27582451946,2879.8345220730116,2304.9991637761013,574.8353582969103,58.152866242038215,194133.33333333334,10918305.0,2024,192300.0,248000.0,169866.66666666666
2024-02-01,193900.0,261000.0,193500.0,250500.0,47239276.0,200520.0,188180.0,173343.33333333334,198950.0,197275.0,187504.16666666666,251.14396339317133,1485.758550214566,35.27119194543683,-10.2955505034102,230036.77836070082,188180.0,146323.22163929918,7534.679838847107,3350.9352987903026,4183.744540056805,75.52591072344792,216200.0,13966364.833333334,2024,235000.0,248000.0,169866.66666666666
