Date,Open,High,Low,Close,Volume,MA4,MA5,MA10,MA20,MA40,MA60,BB_Middle,BB_Upper,BB_Lower,Volume_MA20,MACD,MACD_Signal,MACD_Histogram,Stoch_K,Stoch_D,RSI,Plus_DI,Minus_DI,ADX
2024-09-30,1997.0,2045.0,1928.0,1939.0,8177001.0,2083.5,2075.8,2253.4,1900.05,1660.025,1614.3166666666666,1900.05,2745.021871222891,1055.0781287771088,62886462.8,170.14634332421747,185.7428858270905,-15.596542502873035,42.55548373195433,47.34611793435324,60.8294930875576,25.75295463210065,21.902401829965687,31.331817194101415
2024-10-07,1941.0,1978.0,1820.0,1852.0,9855821.0,1982.75,2037.2,2189.1,1919.25,1667.6,1621.1833333333334,1919.25,2739.9893008745344,1098.5106991254656,63047420.8,141.2379755825632,176.84190377818504,-35.60392819562185,36.506018729342294,42.808621196787875,59.38650306748466,25.332833302081383,21.54509656853553,26.62324576552999
2024-10-14,1836.0,1932.0,1807.0,1818.0,7347682.0,1904.75,1949.8,2132.4,1935.05,1675.925,1625.2833333333333,1935.05,2733.841580747884,1136.2584192521156,63223341.0,114.26716922562537,164.32695686767312,-50.05978764204775,32.121954899318496,37.06115245353838,57.438872772482384,24.781232545149877,21.39266430832247,21.80181719410142
2024-10-22,1813.0,1828.0,1646.0,1650.0,9142268.0,1814.75,1853.8,2044.9,1944.45,1678.95,1624.1166666666666,1944.45,2723.9954748559835,1164.9045251440166,63565251.9,78.43229621975524,147.14802473808956,-68.71572851833432,21.777897404525703,30.135290344395496,50.394354503943546,20.570771882781074,22.007278299176402,16.170512372974837
2024-10-28,1661.0,1825.0,1650.0,1688.0,27351238.0,1752.0,1789.4,1965.2,1954.1,1683.975,1619.8833333333334,1954.1,2714.7689299903413,1193.4310700096582,64729603.45,52.494064705529354,128.21723273157752,-75.72316802604817,12.511718055198026,22.137190119680742,37.204414083026805,8.739348918505572,25.191173257592308,13.209428574527527
2024-11-04,1770.0,1957.0,1430.0,1530.0,100626442.0,1671.5,1707.6,1891.7,1957.6,1687.3,1617.3833333333334,1957.6,2709.2876170885283,1205.9123829114715,69644460.5,18.969876884349333,106.36776156213189,-87.39788467778256,5.307225198625917,13.19894688611655,22.286042504307872,11.273574909938548,11.315956770502227,10.828252520159806
2024-11-11,1519.0,1523.0,1336.0,1387.0,10402305.0,1563.75,1614.6,1825.9,1955.85,1686.25,1613.6333333333334,1955.85,2712.931452893815,1198.7685471061852,70082102.4,-18.919100774801336,81.31038909474525,-100.22948986954658,4.4245305807745545,7.414491278199499,21.871476888387818,9.934086629001882,12.570621468926554,9.451494103134603
2024-11-18,1391.0,1758.0,1379.0,1421.0,81981649.0,1506.5,1535.2,1742.5,1957.25,1686.725,1610.9833333333333,1957.25,2710.040423061194,1204.459576938806,74100969.7,-45.676344231118264,55.91304242957254,-101.5893866606908,5.290259616184072,5.007338465194848,16.90647482014387,16.03612399316573,3.2706858677080786,13.44212531137011
2024-11-25,1428.0,1468.0,1381.0,1381.0,7615013.0,1429.75,1481.4,1667.6,1953.35,1684.525,1609.35,1953.35,2717.7280478271337,1188.9719521728662,74390755.85,-69.31035156320559,30.86836363101692,-100.1787151942225,4.222984739385385,4.645924978781337,16.90647482014387,18.029637760702528,3.7321624588364433,18.13165889596284
2024-12-02,1394.0,1440.0,1283.0,1319.0,6567786.0,1377.0,1407.6,1598.5,1937.75,1682.25,1605.1333333333334,1937.75,2741.546747023982,1133.953252976018,71573888.85,-91.98303136397863,6.298084632017812,-98.28111599599643,4.050649363576386,4.521297906381947,18.67549668874173,19.346289752650176,4.004711425206124,22.727119698503575
2024-12-09,1276.0,1484.0,1241.0,1477.0,10630020.0,1399.5,1397.0,1552.3,1902.85,1684.3,1606.9166666666667,1902.85,2723.705336956851,1081.9946630431486,54191377.4,-96.09429865673246,-14.180392025732246,-81.91390663100022,7.827976265069846,5.3672034560105395,30.38674033149171,21.152685576342787,4.103802051901026,27.36177582783966
2024-12-16,1498.0,1561.0,1418.0,1418.0,6868849.0,1398.75,1403.2,1508.9,1849.0,1684.975,1607.3,1849.0,2647.2886959648636,1050.7113040351364,46498989.35,-102.9268380039698,-31.92968122137976,-70.99715678259005,12.301923226701533,8.060182951782588,17.733230531996924,14.538379908029714,11.071807569862045,27.284279298857523
2024-12-23,1418.0,1461.0,1360.0,1382.0,2775448.0,1399.0,1395.4,1465.3,1798.85,1683.95,1605.8,1798.85,2581.221637361291,1016.4783626387091,41416927.35,-109.97880657512223,-47.53950629212826,-62.439300282993976,16.429747737883392,12.186549076551591,19.039735099337747,14.92916818016709,6.647293861242281,29.448839183417412
2024-12-30,1360.0,1517.0,1360.0,1501.0,3166067.0,1444.5,1419.4,1450.4,1747.65,1686.5,1607.5166666666667,1747.65,2460.9068076676376,1034.3931923323628,34635994.9,-104.7576559505253,-58.983136223807676,-45.77451972671763,21.462897063085972,16.7315226758903,28.914664457332236,17.012750455373403,6.666666666666667,31.992575447153676
