Date,Open,High,Low,Close,Volume,MA4,MA5,MA10,MA20,MA40,MA60,BB_Middle,BB_Upper,BB_Lower,Volume_MA20,MACD,MACD_Signal,MACD_Histogram,Stoch_K,Stoch_D,RSI,Plus_DI,Minus_DI,ADX
2024-09-30,2275.0,2305.0,2140.0,2195.0,11576434.0,2335.0,2280.0,2231.0,2294.75,1846.025,1678.85,2294.75,2710.6254241609568,1878.874575839043,111298054.4,147.0840307332769,179.21247886134842,-32.12844812807151,33.33333333333334,35.44444444444446,51.49501661129568,21.40426294107111,20.45495253447967,8.455594409670312
2024-10-07,2225.0,2360.0,2145.0,2160.0,18685424.0,2265.0,2300.0,2225.5,2287.0,1867.575,1693.9166666666667,2287.0,2707.0426043554244,1866.9573956445759,98054621.5,129.40387190195042,169.25075746946882,-39.8468855675184,27.111111111111114,33.07407407407408,53.913043478260875,22.731405710129117,20.76741225677396,8.375039736582064
2024-10-14,2155.0,2430.0,2150.0,2335.0,35693485.0,2238.75,2279.0,2252.0,2282.75,1893.675,1710.7,2282.75,2698.827864676418,1866.6721353235823,90403141.2,128.03732157083186,161.00807028974145,-32.97074871890959,28.66666666666667,29.70370370370372,37.203791469194314,12.228260869565217,23.871237458193978,9.03929364216347
2024-10-22,2325.0,2445.0,2245.0,2245.0,34743719.0,2233.75,2240.0,2267.5,2267.5,1916.9,1725.1333333333334,2267.5,2664.243321503838,1870.7566784961618,84806758.65,118.32806052427668,152.4720683366485,-34.144007812371825,37.33986928104576,31.03921568627452,45.772594752186585,14.359351988217966,19.85763377515955,9.897251923781498
2024-10-28,2260.0,2410.0,2145.0,2170.0,29697535.0,2227.5,2221.0,2257.0,2258.75,1939.25,1739.1333333333334,2258.75,2656.0153229796283,1861.4846770203717,80803570.1,103.38971570974763,142.65559781126834,-39.2658821015207,43.84967320261438,36.618736383442275,43.05949008498583,14.30667644900954,19.78478845683541,10.755210205399527
2024-11-04,2170.0,2390.0,2155.0,2330.0,27854411.0,2270.0,2248.0,2264.0,2263.5,1965.425,1756.15,2263.5,2661.8399764549226,1865.1600235450774,79099566.45,103.27118668742696,134.77871558650006,-31.507528899073094,52.74509803921569,44.644880174291956,53.33333333333333,14.448011854778958,20.22721659669054,11.868995223294133
2024-11-11,2330.0,2375.0,2155.0,2170.0,24665932.0,2228.75,2250.0,2275.0,2266.75,1987.125,1768.4666666666667,2266.75,2660.681265711756,1872.8187342882438,78945183.45,89.2379096848972,125.67055440617949,-36.43264472128229,44.348240054747244,46.98100376552578,52.87356321839081,15.179034769071095,21.250648676699534,12.782237232426553
2024-11-18,2170.0,2450.0,2170.0,2375.0,70041217.0,2261.25,2258.0,2268.5,2288.75,2013.975,1784.0,2288.75,2652.6741534628986,1924.8258465371014,81056090.05,93.57949710815865,119.25234294657533,-25.672845838416677,49.26180487369455,48.78504765588584,57.4025974025974,16.381236038719287,14.494911888806156,12.966219793444326
2024-11-25,2410.0,2415.0,2185.0,2225.0,18954157.0,2275.0,2254.0,2247.0,2256.25,2036.9,1795.7,2256.25,2493.933447157421,2018.5665528425786,61194972.8,83.94878073483733,112.19163050422773,-28.242849769390403,40.31360647445626,44.64121713429936,48.67724867724867,11.369443025038324,15.304036791006641,12.496641657342309
2024-12-02,2245.0,2255.0,1717.0,1777.0,34167846.0,2136.75,2175.4,2198.2,2225.6,2048.9,1800.9166666666667,2225.6,2537.249871017567,1913.950128982433,45019044.6,39.70877467898936,97.69505933918006,-57.986284660190705,33.40310678916869,40.992839379106506,39.6039603960396,10.628134702651062,13.112013374731312,12.876676663757666
2024-12-09,1741.0,1791.0,1632.0,1715.0,26398517.0,2023.0,2052.4,2150.2,2190.6,2059.325,1807.6666666666667,2190.6,2563.832480111966,1817.3675198880337,41889724.65,-0.3505893212218325,78.08592960709969,-78.43651892832152,16.697485265417658,30.13806617634754,42.10526315789473,8.791760864104498,13.79050489826677,13.41164228786665
2024-12-16,1723.0,1930.0,1723.0,1739.0,19797269.0,1864.0,1966.2,2108.1,2166.8,2065.075,1815.2833333333333,2166.8,2590.742697220177,1742.8573027798234,40948410.8,-29.817605682399517,56.50522254919985,-86.32282823159937,8.364971772826534,19.488521275804302,30.83652268999454,9.372408072988666,15.178324578379875,13.296399012246015
2024-12-23,1770.0,1779.0,1640.0,1656.0,10774146.0,1721.75,1822.4,2040.2,2146.1,2069.975,1820.9666666666667,2146.1,2626.600134180388,1665.5998658196115,39386107.3,-59.18558025959055,33.36706198744177,-92.55264224703232,7.03106564961596,10.697840895953393,29.497907949790786,9.614293817356778,3.403289846851957,16.5424385491562
2024-12-30,1640.0,1708.0,1621.0,1705.0,5171647.0,1703.75,1718.4,1986.2,2126.85,2076.675,1827.65,2126.85,2646.098961684594,1607.6010383154057,38889796.6,-77.61136569460245,11.171376451032929,-88.78274214563538,7.690881762163485,7.695639728202003,34.32250839865621,10.50185873605948,3.7174721189591073,19.788478086066387
2025-01-06,1724.0,2015.0,1708.0,1836.0,23390805.0,1734.0,1730.2,1952.8,2104.9,2083.5,1835.8666666666666,2104.9,2634.786144672412,1575.0138553275883,36808905.65,-80.71291991639691,-7.205482822453041,-73.50743709394388,12.83223368805237,9.184727033277282,40.281537628586904,19.152090127482953,3.5576638007708272,24.53137398083738
