Date,Open,High,Low,Close,Volume,MA4,MA5,MA10,MA20,MA40,MA60,BB_Middle,BB_Upper,BB_Lower,Volume_MA20,MACD,MACD_Signal,MACD_Histogram,Stoch_K,Stoch_D,RSI,TR,ATR,Plus_DM,Minus_DM,Plus_DI,Minus_DI,DX,ADX
2025-08-06,2565.0,3075.0,1975.0,1990.0,42924382.0,,,,,,,,,,,0.0,0.0,0.0,,,50.0,,,0.0,0.0,,,,
2025-08-11,1991.0,1993.0,1984.0,1987.0,535164.0,,,,,,,,,,,-0.23931623931639479,-0.04786324786327896,-0.19145299145311584,,,50.0,9.0,9.0,0.0,9.0,,,100.0,
2025-08-18,1987.0,1991.0,1983.0,1988.0,460551.0,,,,,,,,,,,-0.3443153870507558,-0.10715367570077435,-0.23716171134998149,,,50.0,8.0,8.5,0.0,0.0,,,100.0,
2025-08-25,1988.0,1996.0,1985.0,1994.0,264481.0,1989.75,,,,,,,,,,0.055976624121058194,-0.07452761573640784,0.13050423985746604,,,50.0,11.0,9.333333333333334,5.0,0.0,,,28.571428571428566,
2025-09-01,1994.0,1998.0,1990.0,1995.0,167220.0,1991.0,1990.8,,,,,,,,,0.4487298907185959,0.030123885554592916,0.41860600516400304,,,50.0,8.0,9.0,0.0,5.0,,,47.36842105263158,
2025-09-08,1995.0,2005.0,1988.0,2000.0,158361.0,1994.25,1992.8,,,,,,,,,1.1501892318910905,0.25413695482189247,0.896052277069198,,,50.0,17.0,10.6,7.0,0.0,,,7.692307692307697,
